Countries (ISO2),Countries,Year,Indicators,Result,Analysis [EN],latitude,longitude
MH,Marshall Islands,2019,Is pre-primary education legally free and compulsory?,Partially,"The legislation states that pre-primary education is compulsory starting at age 5, however the duration is not specified. The gratuity of this level is limited to the availability of States’ resources.  Marshall Islands Public School System Act, 2013§302. Interpretation ... (i) “Primary school” or “Primary education” means Kindergarten through grade 8 …§314. Guidelines The following guidelines shall serve as major elements for the achievement of the educational goal provided in Section 313 and for the implementation of this Chapter: … (e) free public kindergarten to all five year olds in the Republic as resources permit;§318. Compulsory Enrolment and Attendance (1) A child who attains the age of five (5) years on or prior to the commencement date of any school year shall be eligible to enroll in, and commence elementary level education in any school in the Republic. The enrolment and attendance of a child under this Subsection shall be compulsory, and the onus is placed on the parent(s) or guardian(s) to ensure that such child is enrolled in, and regularly attends school.",7.1315,171.1845
MH,Marshall Islands,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The Gender Equality Act ensures that women and girls have equal access to post-secondary education.Gender Equality Act, 2019§113. Education (1) Women and girls have an equal right to education(2) Women and girls, including women and girls with disabilities, must have equal opportunities to: (a) obtain preschool, primary, secondary, vocational, and higher education, including equal access to all subjects (b) access professional training and re-training … (3) An educational or training institution, whether public or private must not refuse enrolment, restrict or refuse training, or deny any other educational or training opportunity to a person on the basis of sex, gender, or any of the multiple identities of women, including suspending or expelling a female student on the grounds of pregnancy, breastfeeding, marital or maternity status.",7.1315,171.1845
MH,Marshall Islands,2019,Is the legal age of marriage set at least at 18 years old?,Yes,"The legislation sets the minimum age for marriage at 18 years old, without exception, for both girls and boys.Births, Deaths and Marriages Registration Act 1988, as amended in 2016§428. Requisites of a marriage. In order to contract a valid marriage it shall be necessary: (a) that the male at the time of contracting the marriage be not less than eighteen (18) years of age and the female be not less than eighteen (18) years of age…",7.1315,171.1845
MH,Marshall Islands,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,No,Compulsory education ends at 18 years old but no legal provision setting a minimum age for work has been identified.,7.1315,171.1845
MH,Marshall Islands,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"The legislation protects from all gender based violence in schools, and prohibits corporal punishment. However, the criminal code leaves a margin for teacher to use “reasonable force” therefore undermining the prohibition of corporal punishment. Criminal Code 2011§3.08. Use of Force by Persons with Special Responsibility for Care, Discipline or Safety of Others. The use of force upon or toward the person of another is justifiable if … (2) the actor is a teacher or a person otherwise entrusted with the care or supervision for a special purpose of a minor and: (a) the force is reasonable and the actor believes that the force used is necessary to further such special purpose, including the maintenance of reasonable discipline in a school, class or other group, and that the use of such force is consistent with the welfare of the minor; and …Marshall Islands Public School System Act, 2013§324. Teacher Conduct … (3) Corporal Punishment is prohibited in the public school system. Child Rights Protection Act, 2015 §1009. Right to Education. (2) Corporal punishment shall be prohibited.Gender Equality Act, 2019§106. Prohibition of gender discrimination(1) Gender discrimination, whether direct or indirect discrimination, is prohibited in all aread, in particular in the political, legal, economic, employment, social and domestic spheres, and by any person, State entity, enterprise or organization. (2) Gender discrimination under subsection (1) includes multiple and intersectional discrimination. (3) Violence against women and girls, including sexual harassment, constitutes gender discrimination.§110. Violence against women and girls(1) Any form of violence against women and girls in the domestic or public sphere is prohibited without exception. (2) Violence against women and girls includes:(a) any form, or threat, of assault, abuse, intimidation, exploitation or other harm, whether physical, sexual, psychological, emotional, or economic, and whether occurring within the family or in the community, including in any educational institution, workplace, or any other public place (c) sexual harassment as defined in Section 2 ",7.1315,171.1845
MH,Marshall Islands,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"Yes, explicitly","The legislation protects the right to education for pregnant girls and women and young mothers. It also provides for special measures to saveguard their health and welfare. Gender Equality Act, 2019§113. Education  (3) An educational or training institution, whether public or private must not refuse enrolment, restrict or refuse training, or deny any other educational or training opportunity to a person on the basis of sex, gender, or any of the multiple identities of women, including suspending or expelling a female student on the grounds of pregnancy, breastfeeding, marital or maternity status.(5) Educational and training institutions must ensure that females students who become pregnant or young mothers are given support to continue and complete their education or training, including through special measures.(6) Special measures under subsection (5) comprises targeted support to safeguard the health and welfare of mother and child and may include: (a) prenatal and postnatal checkups during school hours;(b) free schools lunches for pregnant and breastfeeding mothers;(c) breastfeeding and child care facilities within the educational compound and; (d) adjustment of rules relating to homework, examinations, sport, or other activities, as may be required. ",7.1315,171.1845
MH,Marshall Islands,2019,Data last update,Yes,Last update: 04/2022,7.1315,171.1845
MH,Marshall Islands,2020,Is the country party to UNESCO Convention against Discrimination in Education?,No,Marshall Islands has not ratified the UNESCO Convention against Discrimination in Education.,7.1315,171.1845
MH,Marshall Islands,2020,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,Yes,Marshall Islands ratified the UN Convention on the Elimination of All Forms of Discrimination against Women on 02/03/2006 with no reservations.,7.1315,171.1845
MH,Marshall Islands,2020,Does the Constitution enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Constitution of Marshall Islands enshrines the right to education for all and contains a provision on equality and non-discrimination based on gender.Constitution of the Republic of Marshall Islands of 1979, as amended in 2005Section 12. Equal Protection and Freedom from Discrimination.(1). All persons are equal under the law and are entitled to the equal protection of the laws.(2). No law and no executive or judicial action shall, either expressly, or in its practical application, discriminate against any person on the basis of gender, race, color, language, religion, political or other opinion, national or social origin, place of birth, family status or descent.Section 15. The Government of the Republic of the Marshall Islands recognizes the right of the people to health care, education, and legal services and the obligation to take every step reasonable and necessary to provide these services ",7.1315,171.1845
MH,Marshall Islands,2020,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Gender equality act enshrines hte right to education and a non-discrimination principle in education, notably based on sex or gender. The Children rights also ensrhine the right to education but for children only. Child Rights Protection Act, 2015 §1002. Interpretation. In this Chapter, unless the context requires: (a) “Child” shall mean any person who is below 18 years …§1009. Right to Education. (1) Every child has the right to education which would develop his/her cultural knowledge, intellect, abilities, views, moral and social responsibility.Gender Equality Act, 2019§113. Education (1) Women and girls have an equal right to education …(3) An educational or training institution, whether public or private must not refuse enrolment, restrict or refuse training, or deny any other educational or training opportunity to a person on the basis of sex, gender, or any of the multiple identities of women, including suspending or expelling a female student on the grounds of pregnancy, breastfeeding, marital or maternity status.",7.1315,171.1845
MH,Marshall Islands,2020,Are 9 years of primary and secondary education legally compulsory?,Yes,"The legislation guarantees 12 years of compulsory education primary and secondary education, starting at age 6. Pre-primary is also compulsory from age 3 (see indicator 7).Marshall Islands Public School System Act, 2013§302. Interpretation ... (i) “Primary school” or “Primary education” means Kindergarten through grade 8 … (m) “Secondary school” or “secondary education” means Grades 9 through 12§318. Compulsory Enrolment and Attendance (1) A child who attains the age of five (5) years on or prior to the commencement date of any school year shall be eligible to enroll in, and commence elementary level education in any school in the Republic. The enrolment and attendance of a child under this Subsection shall be compulsory, and the onus is placed on the parent(s) or guardian(s) to ensure that such child is enrolled in, and regularly attends school.§320. Parent’s or Guardian’s Responsibility for Child’s Attendance (1) It shall be the responsibility of a parent, guardian or any other person having custody of a child of 5 to 18 years to ensure that a child under his or her custody, care or guardianship enrolls in, and attends public elementary or secondary level school upon attaining eligibility during any given school year.",7.1315,171.1845
MH,Marshall Islands,2020,Are 12 years of primary and secondary education legally free?,No,"While public schools are defined in the legislation as supported entirely or in part from public funds, no provision guaranteeing explicitly free education has been identified. Marshall Islands Public School System Act, 2013§302. Interpretation (k) “Public school” means a school, under college grade, which derives its support, entirely or in part, from public funds; provided that “public school” does not include a school specified under Subsection 302(h) of this Section, whether or not such school derives its support from public funds.",7.1315,171.1845
MH,Marshall Islands,2020,Is pre-primary education legally free and compulsory?,Partially,"The legislation states that pre-primary education is compulsory starting at age 5, however the duration is not specified. The gratuity of this level is limited to the availability of States’ resources.  Marshall Islands Public School System Act, 2013§302. Interpretation ... (i) “Primary school” or “Primary education” means Kindergarten through grade 8 …§314. Guidelines The following guidelines shall serve as major elements for the achievement of the educational goal provided in Section 313 and for the implementation of this Chapter: … (e) free public kindergarten to all five year olds in the Republic as resources permit;§318. Compulsory Enrolment and Attendance (1) A child who attains the age of five (5) years on or prior to the commencement date of any school year shall be eligible to enroll in, and commence elementary level education in any school in the Republic. The enrolment and attendance of a child under this Subsection shall be compulsory, and the onus is placed on the parent(s) or guardian(s) to ensure that such child is enrolled in, and regularly attends school.",7.1315,171.1845
MH,Marshall Islands,2020,Is equal access to post-secondary education legally guaranteed?,Yes,"The Gender Equality Act ensures that women and girls have equal access to post-secondary education.Gender Equality Act, 2019§113. Education (1) Women and girls have an equal right to education(2) Women and girls, including women and girls with disabilities, must have equal opportunities to: (a) obtain preschool, primary, secondary, vocational, and higher education, including equal access to all subjects (b) access professional training and re-training … (3) An educational or training institution, whether public or private must not refuse enrolment, restrict or refuse training, or deny any other educational or training opportunity to a person on the basis of sex, gender, or any of the multiple identities of women, including suspending or expelling a female student on the grounds of pregnancy, breastfeeding, marital or maternity status.",7.1315,171.1845
MH,Marshall Islands,2020,Is the legal age of marriage set at least at 18 years old?,Yes,"The legislation sets the minimum age for marriage at 18 years old, without exception, for both girls and boys.Births, Deaths and Marriages Registration Act 1988, as amended in 2016§428. Requisites of a marriage. In order to contract a valid marriage it shall be necessary: (a) that the male at the time of contracting the marriage be not less than eighteen (18) years of age and the female be not less than eighteen (18) years of age…",7.1315,171.1845
MH,Marshall Islands,2020,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,No,Compulsory education ends at 18 years old but no legal provision setting a minimum age for work has been identified.,7.1315,171.1845
MH,Marshall Islands,2020,Are learners legally protected against all violence and corporal punishment in educational institutions?,Yes,"The legislation protects from all gender based violence in schools, and prohibits corporal punishment. The Criminal Code has been amended in 2020 to repeal the article 3.08 that used to allow the use of reasonable force by teachers.  Marshall Islands Public School System Act, 2013§324. Teacher Conduct … (3) Corporal Punishment is prohibited in the public school system. Child Rights Protection Act, 2015 §1009. Right to Education. (2) Corporal punishment shall be prohibited.Gender Equality Act, 2019§106. Prohibition of gender discrimination(1) Gender discrimination, whether direct or indirect discrimination, is prohibited in all aread, in particular in the political, legal, economic, employment, social and domestic spheres, and by any person, State entity, enterprise or organization. (2) Gender discrimination under subsection (1) includes multiple and intersectional discrimination. (3) Violence against women and girls, including sexual harassment, constitutes gender discrimination.§110. Violence against women and girls(1) Any form of violence against women and girls in the domestic or public sphere is prohibited without exception. (2) Violence against women and girls includes:(a) any form, or threat, of assault, abuse, intimidation, exploitation or other harm, whether physical, sexual, psychological, emotional, or economic, and whether occurring within the family or in the community, including in any educational institution, workplace, or any other public place (c) sexual harassment as defined in Section 2 ",7.1315,171.1845
MH,Marshall Islands,2020,Is pregnant and parenting girls’ right to education protected in the legal framework?,"Yes, explicitly","The legislation protects the right to education for pregnant girls and women and young mothers. It also provides for special measures to saveguard their health and welfare. Gender Equality Act, 2019§113. Education  (3) An educational or training institution, whether public or private must not refuse enrolment, restrict or refuse training, or deny any other educational or training opportunity to a person on the basis of sex, gender, or any of the multiple identities of women, including suspending or expelling a female student on the grounds of pregnancy, breastfeeding, marital or maternity status.(5) Educational and training institutions must ensure that females students who become pregnant or young mothers are given support to continue and complete their education or training, including through special measures.(6) Special measures under subsection (5) comprises targeted support to safeguard the health and welfare of mother and child and may include: (a) prenatal and postnatal checkups during school hours;(b) free schools lunches for pregnant and breastfeeding mothers;(c) breastfeeding and child care facilities within the educational compound and; (d) adjustment of rules relating to homework, examinations, sport, or other activities, as may be required. ",7.1315,171.1845
MH,Marshall Islands,2020,Data last update,Yes,Last update: 04/2022,7.1315,171.1845
MR,Mauritania,2022,Is the country party to UNESCO Convention against Discrimination in Education?,No,Mauritania has not ratified the UNESCO Convention against Discrimination in Education.,20.0,-12.0
MR,Mauritania,2022,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,"Yes, with reservations","Mauritania ratified the Convention on the Elimination of All Forms of Discrimination against Women on 10 May 2001, with reservations.",20.0,-12.0
MR,Mauritania,2022,Does the Constitution enshrine the right to education without discrimination?,"No, the right to education is not enshrined","The Constitution of the Islamic Republic of Mauritania does not enshrine the right to education. It contains a principle of equality before the law, regardless of gender.Constitution of the Islamic Republic of Mauritania of 1991, amended in 2017 (non-official translation)Article 1. ... The Republic guarantees equality before the law to all citizens, regardless of their origin, race, sex or social condition.Article 57. ... the general regulations concerning education and health... pertain to the realm of the law …",20.0,-12.0
MR,Mauritania,2022,Does the legislation enshrine the right to education without discrimination?,"Yes, without discrimination based on sex/gender","The Law 23 of 2022 on the National Education System guarantees the right to education for citizens, regardless of gender, but therefore does not apply to all persons in the territory.Law 2022-023 on the orientation of the National Education System (unofficial translation)Article 3 : ... Education is a fundamental right guaranteed to all Mauritanians without discrimination based on gender, social, cultural, linguistic or geographical origin.",20.0,-12.0
MR,Mauritania,2022,Are 9 years of primary and secondary education legally compulsory?,Yes,"The law states that education is compulsory from age six to 15, fir a duration of nine years.Law No. 75-023 of 20 January 1975 on the reorganization of public basic education (non-official translation)Article 3. State basic education is compulsory, within the limitations of schools reception capacity.Law 2022-023 on the orientation of the National Education System (non-official translation)Article 3 : Education is an absolute national priority and education is compulsory from the age of six to fifteen.Article 26 : Basic education lasts nine (9) years and is organised in two levels: primary education of 6 years and college education of 3 years.  Basic education is considered compulsory...",20.0,-12.0
MR,Mauritania,2022,Are 12 years of primary and secondary education legally free?,Partially,"The 2022 law states that the public education service is free, without explicitly specifying the levels covered by this free education, so the full duration of free education is uncertain. In contrast, the 2018 law explicitly states that primary education, lasting six years, is free.Law n°2018-024 on the General Child Protection Code (unofficial translation)	Article 16: The child has the right to decent living conditions, including...free education covering at least primary education.Law 2022-023 on the orientation of the National Education System (non-official translation)Article 5 : The national education system is based on the following principles: Free public education service...  Article 26 : Basic education lasts nine (9) years and is organised in two levels: primary education of 6 years and college education of 3 years.   ",20.0,-12.0
MR,Mauritania,2022,Is pre-primary education legally free and compulsory?,No,"The law provides for 3 years of pre-school education for children aged 3 to 5, the last year of which is considered a preparatory year for primary education. This education is neither compulsory nor explicitly mentioned as free. Indeed, although the law provides for free public education, the levels covered by this free education are not explicitly mentioned.Law 2022-023 on the orientation of the National Education System (non-official translation)Article 5 : The national education system is based on the following principles:  Free public education service...Article 20 : Pre-school education shall last for three years and shall be available to children aged between three and five years.Article 21 : Notwithstanding the fact that pre-school education is not compulsory, the last year of this cycle shall be regarded as a preparatory year for primary education. Access to this year shall be generalised for all children aged 5 years within a timeframe to be determined in the framework of sectoral strategies and plans.Article 23 : The standards and criteria relating to pre-school facilities and equipment, curricula, human, material and financial resources and the management of this stage of the education system shall be laid down by regulation.",20.0,-12.0
MR,Mauritania,2022,Is equal access to post-secondary education legally guaranteed?,Yes,"The legal framework guarantees equal access to the post-secondary level.Law No. 2010-043 on the organization of higher education (non-official translation)Article 1. Higher education and scientific research, the subjects of this law, are intended to contribute to the development of the nation as part of the synergy between all production sectors and opening onto the economic, social and cultural environment. Higher education and scientific research are founded on the following principles:the respect of the teachings of Islam;the respect of the universal values of human rights, tolerance, opening onto other cultures, freedom of thought, creation and innovation within the strict observance of the academic rules of objectivity, scientific rigour and intellectual honesty;equal opportunities and equity between all citizens regarding access to knowledge and training.Law n°2018-038 on Technical and Vocational Training  (unofficial translation) Article 6: Technical and vocational training is the responsibility of the State; it guarantees equal access for all to technical and vocational training.Law 2022-023 on the orientation of the National Education System (unofficial translation)Article 5 : The national education system is based on the following principles: The priority place of the levers of equity and equality of opportunity...",20.0,-12.0
MR,Mauritania,2022,Is the legal age of marriage set at least at 18 years old?,Partially,"The law provides that the legal age for marriage is 18 years, but a girls guardian, or weli, may lower that age if he sees a clear interest, without any absolute minimum age being established.Law No. 2001-052 of 19 July 2001 on the Personnel Status Code (non-official translation)Article 6. Any person of sound mind who is 18 years of age or older may marry. An incapacitated person may be married by their guardian (weli), if that is particularly beneficial.Article 9. Guardianship (wilaya) is exercised in womens interest. An adult woman cannot marry without her own consent and the presence of her guardian (weli). Young girls silence equates to consent.Article 10. The guardian (weli) must be male, sound of mind, an adult and Muslim when the woman is Muslim.Article 28. Wives may stipulate that their husbands may not marry another woman, may not leave for over a certain period and may not prevent them from continuing their studies or working, as well as any other condition that does not contradict the purpose of the marriage contract.",20.0,-12.0
MR,Mauritania,2022,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"The minimum age for access to employment is 16 years, which is aligned with the end of compulsory education.Law n°2018-024 on the General Child Protection Code  (unofficial translation) Article 76: It is prohibited: To employ children under 16 years of age; To employ children who are still subject to compulsory schooling in work which deprives them of the full benefit of their education;",20.0,-12.0
MR,Mauritania,2022,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,"The law prohibits corporal punishment and all forms of moral abuse in schools. No legal provisions concerning other types of violence, sexual, physical and moral, have been identifiedLaw 2022-023 on the orientation of the National Education System (unofficial translation) Article 12 : Corporal punishment and all forms of moral abuse are prohibited in schools.",20.0,-12.0
MR,Mauritania,2022,Is pregnant and parenting girls’ right to education protected in the legal framework?,"Yes, explicitly","The 2005 order penalizes persons preventing pregnant girls from attending school. No legal provisions concerning young mothers right to education have been identified.Order No. 2005-015 concerning the Penal Protection Code for Children (non-official translation)Article 35. The parents, guardians, persons who have authority over children and heads of school who refuse to allow girls under 18 to continue to attend school on the grounds of pregnancy are sentenced to one year of imprisonment and a fine of 200,000 ouguiyas.",20.0,-12.0
MR,Mauritania,2022,Data last update,Yes,Last update: 12/2022,20.0,-12.0
MR,Mauritania,2019,Is the country party to UNESCO Convention against Discrimination in Education?,No,Mauritania has not ratified the UNESCO Convention against Discrimination in Education.,20.0,-12.0
MR,Mauritania,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,"Yes, with reservations","Mauritania ratified the Convention on the Elimination of All Forms of Discrimination against Women on 10 May 2001, with reservations.",20.0,-12.0
MR,Mauritania,2019,Does the Constitution enshrine the right to education without discrimination?,"No, the right to education is not enshrined","The Constitution of the Islamic Republic of Mauritania does not enshrine the right to education. It contains a principle of equality before the law, regardless of gender.Constitution of the Islamic Republic of Mauritania of 1991, amended in 2017 (non-official translation)Article 1. ... The Republic guarantees equality before the law to all citizens, regardless of their origin, race, sex or social condition.Article 57. ... the general regulations concerning education and health... pertain to the realm of the law …",20.0,-12.0
MR,Mauritania,2019,Does the legislation enshrine the right to education without discrimination?,Partially,"The Education Law does not enshrine the right to education without discrimination based on sex or gender. The General Child Protection Code guarantees the right to education, but for children only, it does not contain a provision regarding non-discrimination in education. Law n°2018-024 on the General Child Protection Code (unofficial translation)	Article 16: The child has the right to decent living conditions, including...free education covering at least primary education.",20.0,-12.0
MR,Mauritania,2019,Are 9 years of primary and secondary education legally compulsory?,Partially,"The law on basic education provides that education is compulsory from the age of six to 14 years for a duration of six years. It should be noted that the ages for compulsory education do not correspond to its duration.Law No. 75-023 of 20 January 1975 on the reorganization of public basic education (non-official translation)Article 2. State basic education includes: (a) elementary education provided in basic schools; (b) general and teacher training education provided in teacher training colleges and the National Teachers School.Article 3. State basic education is compulsory, within the limitations of schools reception capacity.Law No. 2001-054 concerning the obligation of basic education (non-official translation)Article 1. Basic education is compulsory for children of both sexes aged six to 14 years for a schooling period of at least six years. Basic education is provided in State and private schools, mahadras and any other duly authorized education institution. ...",20.0,-12.0
MR,Mauritania,2019,Are 12 years of primary and secondary education legally free?,Partially,"The  law concerning the obligation of basic eduaction does not explicitly guarantee free education. However, the Child Protection Code does guarantee free primary education.Law No. 2001-054 concerning the obligation of basic education (non-official translation)Article 4. The remuneration of the staff and the cost of construction, equipment and maintenance of school buildings and staff lodgings shall be borne by the State and regional authorities. The cost of school supplies and textbooks shall be borne by the State and students parents under conditions to be established by decree.Law n°2018-024 on the General Child Protection Code (unofficial translation)	Article 16: The child has the right to decent living conditions, including...free education covering at least primary education.",20.0,-12.0
MR,Mauritania,2019,Is pre-primary education legally free and compulsory?,No,No legal provisions have been identified concerning free or compulsory pre-primary education.,20.0,-12.0
MR,Mauritania,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The legal framework guarantees equal access to the post-secondary level.Law No. 2010-043 on the organization of higher education (non-official translation)Article 1. Higher education and scientific research, the subjects of this law, are intended to contribute to the development of the nation as part of the synergy between all production sectors and opening onto the economic, social and cultural environment. Higher education and scientific research are founded on the following principles:the respect of the teachings of Islam;the respect of the universal values of human rights, tolerance, opening onto other cultures, freedom of thought, creation and innovation within the strict observance of the academic rules of objectivity, scientific rigour and intellectual honesty;equal opportunities and equity between all citizens regarding access to knowledge and training.Law n°2018-038 on Technical and Vocational Training  (unofficial translation) Article 6: Technical and vocational training is the responsibility of the State; it guarantees equal access for all to technical and vocational training.",20.0,-12.0
MR,Mauritania,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"The law provides that the legal age for marriage is 18 years, but a girls guardian, or weli, may lower that age if doing so is particularly beneficial, without any absolute minimum age being established.Law No. 2001-052 of 19 July 2001 on the Personnel Status Code (non-official translation)Article 6. Any person of sound mind who is 18 years of age or older may marry. An incapacitated person may be married by their guardian (weli), if that is particularly beneficial.Article 9. Guardianship (wilaya) is exercised in womens interest. An adult woman cannot marry without her own consent and the presence of her guardian (weli). Young girls silence equates to consent.Article 10. The guardian (weli) must be male, sound of mind, an adult and Muslim when the woman is Muslim.Article 28. Wives may stipulate that their husbands may not marry another woman, may not leave for over a certain period and may not prevent them from continuing their studies or working, as well as any other condition that does not contradict the purpose of the marriage contract.",20.0,-12.0
MR,Mauritania,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,No,"The minimum age for access to employment is 16 years, which is inot aligned with the end of compulsory education.Law n°2018-024 on the General Child Protection Code  (unofficial translation) Article 76: It is prohibited: To employ children under 16 years of age; To employ children who are still subject to compulsory schooling in work which deprives them of the full benefit of their education;",20.0,-12.0
MR,Mauritania,2019,Are learners legally protected against all violence and corporal punishment in educational institutions?,Partially,The law on the reorganization of public basic education prohibits corporal punishment. No legal provisions concerning gender-based violence in schools have been identified.Law No. 69-269 of 1 August 1969 on the reorganization of secondary education (non-official translation)Article 4. Corporal punishment of any kind is strictly prohibited.Law No. 75-023 of 20 January 1975 on the reorganization of public basic education (non-official translation)Article 19. Corporal punishment is strictly prohibited. Schools internal regulations are established by decree of the minister responsible for basic education.,20.0,-12.0
MR,Mauritania,2019,Is pregnant and parenting girls’ right to education protected in the legal framework?,"Yes, explicitly","The 2005 order penalizes persons preventing pregnant girls from attending school. No legal provisions concerning young mothers right to education have been identified.Order No. 2005-015 concerning the Penal Protection Code for Children (non-official translation)Article 35. The parents, guardians, persons who have authority over children and heads of school who refuse to allow girls under 18 to continue to attend school on the grounds of pregnancy are sentenced to one year of imprisonment and a fine of 200,000 ouguiyas.",20.0,-12.0
MR,Mauritania,2019,Data last update,Yes,Last update: 01/2023,20.0,-12.0
MU,Mauritius,2019,Is the country party to UNESCO Convention against Discrimination in Education?,Yes,Mauritius ratified the UNESCO Convention against Discrimination in Education on 20/08/1970.,-20.3484,57.5522
MU,Mauritius,2019,Is the country party to the UN Convention on the Elimination of Discrimination against Women?,"Yes, with reservations",Mauritius ratified the UN Convention on the Elimination of All Forms of Discrimination against Women on 09/07/1984 with reservations.,-20.3484,57.5522
MU,Mauritius,2019,Does the Constitution enshrine the right to education without discrimination?,"No, the right to education is not enshrined","The Constitution of Mauritius does not enshrine the right to education. The Constitution contains a provision on non-discrimination on the ground of sex. Constitution of Mauritius of 1968, as amended in 2016 Article 16. Protection from discrimination(1). Subject to subsections (4), (5) and (7), no law shall make any provision that is discriminatory either of itself or in its effect. (2). Subject to subsections (6), (7) and (8), no person shall be treated in a discriminatory manner by any person acting in the performance of any public function conferred by any law or otherwise in the performance of the functions of any public office or any public authority. (3). In this section, discriminatory means affording different treatment to different persons attributable wholly or mainly to their respective descriptions by race, caste, place of origin, political opinions, colour, creed or sex whereby persons of one such description are subjected to disabilities or restrictions to which persons of another such description are not made subject or are accorded privileges or advantages that are not accorded to persons of another such description. ",-20.3484,57.5522
MU,Mauritius,2019,Does the legislation enshrine the right to education without discrimination?,"No, the right to education is not enshrined","The legislation does not explicitly enshrine the right to education. However, it contains a provision on non-discrimination in education, notably based on sex.Equal Opportunities Act of 2008Article 2. Interpretation … “education institution” means a university, college, school or other body where education or training I provided; … “status” means age, caste, colour, creed, ethnic origin, impairment, martial status, place of origin, political opinion, race, sex or sexual orientation; …Article 5. (3) (a) A discrimination is deemed to discriminate on the ground of sex where he acts as he does because of (1) the pregnancy, family responsibility or potential pregnancy of aggrieved person; or (ii) a characteristic of the aggrieved person that generally appertains or is potentially pregnant.Article 17. (1) … no education institution shall discriminate (a) against a person (i) in deciding who should be admitted as a student; (ii) by refusing or failing to accept that person’s application for admission as a student; (iii) in the way in which that person’s application is processed; or (iv) in the terms or conditions on which it is prepared to admit that person as a student; or (b) against a student by (i) denying him access, or limiting his access, to any benefit, facility or service provided by the educational institution; (ii) expelling him; or (iii) placing him as a disadvantage in any other manner.",-20.3484,57.5522
MU,Mauritius,2019,Are 9 years of primary and secondary education legally compulsory?,Yes,"Education corresponding to primary and lower secondary levels (according to the International Standard Classification for Education) is compulsory from 5 to 16 years old.Education Act of 1957Article 2. … ”primary school” means a school providing primary education for children between the ages of about 5 and 13 and includes an aided primary school;… “secondary school” means— (a) a school providing post-primary education of not less than 5 years’ duration, leading to a public examination of School Certificate level or equivalent; (b) a school providing post-primary education of not less than 7 years’ duration, leading to a public examination of Higher School Certificate level or equivalent; …Article 37. Compulsory education up to age of 16 (1)  Every child who has attained such age as may be prescribed for admission to a primary school shall attend a primary school.(2)  It shall be compulsory for every child to attend school up to the end of the academic year in the course of which he attains the age of 16.",-20.3484,57.5522
MU,Mauritius,2019,Are 12 years of primary and secondary education legally free?,No,"While it has been reported that, since amendment of the legislation in 2005, education is free from primary (starting at 5) and until 16 years old, [1] no provision explicitly providing for free education has been identified in the legislation.------------[1] The development of education – National Report of Mauritius by  The Ministry of Education, Culture & Human Resources. 2008. Available at: http://www.ibe.unesco.org/fileadmin/user_upload/archive/National_Reports/ICE_2008/mauritius_NR08.pdf ",-20.3484,57.5522
MU,Mauritius,2019,Is pre-primary education legally free and compulsory?,No,No provision regarding free or compulsory pre-primary education has been identified.,-20.3484,57.5522
MU,Mauritius,2019,Is equal access to post-secondary education legally guaranteed?,Yes,"The equal opportunities act guarantees equal access to all types of education institution. Equal Opportunities Act of 2008Article 2.  … “education institution” means a university, college, school or other body where education or training I provided; … “status” means age, caste, colour, creed, ethnic origin, impairment, marital status, place of origin, political opinion, race, sex or sexual orientation; …Article 17. (1) … no education institution shall discriminate (a) against a person (i) in deciding who should be admitted as a student; (ii) by refusing or failing to accept that person’s application for admission as a student; (iii) in the way in which that person’s application is processed; or (iv) in the terms or conditions on which it is prepared to admit that person as a student; or (b) against a student by (i) denying him access, or limiting his access, to any benefit, facility or service provided by the educational institution; (ii) expelling him; or (iii) placing him as a disadvantage in any other manner.",-20.3484,57.5522
MU,Mauritius,2019,Is the legal age of marriage set at least at 18 years old?,Partially,"Minimum age of civil marriage for both sexes is 18 years but exceptions permit marriage from 16 years with parental consent.Civil code  (unofficial translation)Article 144. No person shall enter into marriage before the age of eighteen years.Article 145. Nevertheless, a minor who is under 18 years of age but over 16 years of age may contract marriage with the consent of his father and mother or of whichever of them exercises parental authority exclusively. In the absence of a father and mother or of the person exercising parental authority, the judge in chambers may grant a dispensation of age to the minor where it is necessary in the minors interest.",-20.3484,57.5522
MU,Mauritius,2019,Is the minimum age of employment at least 15 and aligned with the end of compulsory education?,Yes,"Minimum age of employment is 16 years, which is aligned with end of compulsory education.Workers’ Rights Act of 2019Article 2. … “child” means a person under the age of 16…Article 8. (1) No person shall employ a child for employment or work in any occupation.",-20.3484,57.5522
